docx_requirement_id,docx_priority,coverage_status_before_reconciliation,pack_requirement_ids,pre_reconciliation_sources,pre_reconciliation_checkpoint,reconciliation_action,post_reconciliation_state,notes
FR-SG-003,P0,EXPLICIT_SAME_ID,FR-SG-003,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-SG-004,P0,EXPLICIT_SAME_ID,FR-SG-004,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-SG-005,P0,EXPLICIT_SAME_ID,FR-SG-005,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-SG-006,P0,EXPLICIT_SAME_ID,FR-SG-006,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-SG-007,P0,EXPLICIT_SAME_ID,FR-SG-007,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-SG-008,P0,EXPLICIT_SAME_ID,FR-SG-008,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-SG-009,P1,EXPLICIT_SAME_ID,FR-SG-009,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-001,P0,EXPLICIT_SAME_ID,FR-TL-001,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-002,P0,EXPLICIT_SAME_ID,FR-TL-002,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-003,P0,EXPLICIT_SAME_ID,FR-TL-003,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-004,P0,EXPLICIT_SAME_ID,FR-TL-004,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-005,P0,EXPLICIT_SAME_ID,FR-TL-005,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-006,P0,EXPLICIT_SAME_ID,FR-TL-006,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-007,P1,EXPLICIT_SAME_ID,FR-TL-007,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-008,P0,EXPLICIT_SAME_ID,FR-TL-008,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-009,P0,EXPLICIT_SAME_ID,FR-TL-009,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-010,P0,EXPLICIT_SAME_ID,FR-TL-010,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-011,P0,EXPLICIT_SAME_ID,FR-TL-011,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-012,P0,EXPLICIT_SAME_ID,FR-TL-012,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-013,P1,EXPLICIT_SAME_ID,FR-TL-013,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-014,P1,EXPLICIT_SAME_ID,FR-TL-014,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-015,P1,EXPLICIT_SAME_ID,FR-TL-015,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-016,P1,EXPLICIT_SAME_ID,FR-TL-016,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-017,P2,EXPLICIT_SAME_ID,FR-TL-017,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TL-018,P2,EXPLICIT_SAME_ID,FR-TL-018,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-DS-001,P0,EXPLICIT_SAME_ID,FR-DS-001,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-DS-002,P0,EXPLICIT_SAME_ID,FR-DS-002,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-DS-003,P0,EXPLICIT_SAME_ID,FR-DS-003,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-DS-004,P0,EXPLICIT_SAME_ID,FR-DS-004,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-DS-005,P0,EXPLICIT_SAME_ID,FR-DS-005,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-DS-006,P0,EXPLICIT_SAME_ID,FR-DS-006,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-DS-007,P1,EXPLICIT_SAME_ID,FR-DS-007,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-DS-008,P0,EXPLICIT_SAME_ID,FR-DS-008,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-DS-009,P1,EXPLICIT_SAME_ID,FR-DS-009,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-DS-010,P0,EXPLICIT_SAME_ID,FR-DS-010,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-DS-011,P0,EXPLICIT_SAME_ID,FR-DS-011,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-DS-012,P1,EXPLICIT_SAME_ID,FR-DS-012,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-DS-013,P0,EXPLICIT_SAME_ID,FR-DS-013,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-DS-014,P2,EXPLICIT_SAME_ID,FR-DS-014,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-NP-001,P0,EXPLICIT_SAME_ID,FR-NP-001,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-NP-002,P0,EXPLICIT_SAME_ID,FR-NP-002,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-NP-003,P0,EXPLICIT_SAME_ID,FR-NP-003,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-NP-004,P0,EXPLICIT_SAME_ID,FR-NP-004,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-NP-005,P0,EXPLICIT_SAME_ID,FR-NP-005,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-NP-006,P0,EXPLICIT_SAME_ID,FR-NP-006,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-NP-007,P1,EXPLICIT_SAME_ID,FR-NP-007,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-NP-008,P0,EXPLICIT_SAME_ID,FR-NP-008,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-NP-009,P0,EXPLICIT_SAME_ID,FR-NP-009,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-NP-010,P0,EXPLICIT_SAME_ID,FR-NP-010,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-NP-011,P0,EXPLICIT_SAME_ID,FR-NP-011,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-NP-012,P1,EXPLICIT_SAME_ID,FR-NP-012,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-NP-013,P0,EXPLICIT_SAME_ID,FR-NP-013,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-NP-014,P0,EXPLICIT_SAME_ID,FR-NP-014,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-NP-015,P1,EXPLICIT_SAME_ID,FR-NP-015,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TR-001,P0,EXPLICIT_SAME_ID,FR-TR-001,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TR-002,P0,EXPLICIT_SAME_ID,FR-TR-002,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TR-003,P0,EXPLICIT_SAME_ID,FR-TR-003,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TR-004,P0,EXPLICIT_SAME_ID,FR-TR-004,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TR-005,P0,EXPLICIT_SAME_ID,FR-TR-005,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TR-006,P0,EXPLICIT_SAME_ID,FR-TR-006,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TR-007,P0,EXPLICIT_SAME_ID,FR-TR-007,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TR-008,P1,EXPLICIT_SAME_ID,FR-TR-008,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TR-009,P1,EXPLICIT_SAME_ID,FR-TR-009,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-TR-010,P2,EXPLICIT_SAME_ID,FR-TR-010,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CH-001,P0,EXPLICIT_SAME_ID,FR-CH-001,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CH-002,P0,EXPLICIT_SAME_ID,FR-CH-002,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CH-003,P0,EXPLICIT_SAME_ID,FR-CH-003,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CH-004,P0,EXPLICIT_SAME_ID,FR-CH-004,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CH-005,P0,EXPLICIT_SAME_ID,FR-CH-005,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CH-006,P0,EXPLICIT_SAME_ID,FR-CH-006,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CH-007,P0,EXPLICIT_SAME_ID,FR-CH-007,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CH-008,P0,EXPLICIT_SAME_ID,FR-CH-008,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CH-009,P1,EXPLICIT_SAME_ID,FR-CH-009,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CH-010,P0,EXPLICIT_SAME_ID,FR-CH-010,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CO-001,P0,EXPLICIT_SAME_ID,FR-CO-001,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CO-002,P0,EXPLICIT_SAME_ID,FR-CO-002,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CO-003,P1,EXPLICIT_SAME_ID,FR-CO-003,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CO-004,P1,EXPLICIT_SAME_ID,FR-CO-004,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CO-005,P0,EXPLICIT_SAME_ID,FR-CO-005,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CO-006,P0,EXPLICIT_SAME_ID,FR-CO-006,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-CO-007,P2,EXPLICIT_SAME_ID,FR-CO-007,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-RP-001,P0,EXPLICIT_SAME_ID,FR-RP-001,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-RP-002,P0,EXPLICIT_SAME_ID,FR-RP-002,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-RP-003,P0,EXPLICIT_SAME_ID,FR-RP-003,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-RP-004,P0,EXPLICIT_SAME_ID,FR-RP-004,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-RP-005,P0,EXPLICIT_SAME_ID,FR-RP-005,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-RP-006,P1,EXPLICIT_SAME_ID,FR-RP-006,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-RP-007,P0,EXPLICIT_SAME_ID,FR-RP-007,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-RP-008,P0,EXPLICIT_SAME_ID,FR-RP-008,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-RP-009,P0,EXPLICIT_SAME_ID,FR-RP-009,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-RP-010,P1,EXPLICIT_SAME_ID,FR-RP-010,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
INT-001,P0,EXPLICIT_SAME_ID,INT-001,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
INT-002,P0,EXPLICIT_SAME_ID,INT-002,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
INT-003,P0,EXPLICIT_SAME_ID,INT-003,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
INT-004,P0,EXPLICIT_SAME_ID,INT-004,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
INT-005,P0,EXPLICIT_SAME_ID,INT-005,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
