requirement_id,priority,domain,requirement,acceptance,docx_phase
FR-TL-007,P1,Tooling生命周期,支持设计、备料、热处理、加工、装配、试模、交付等供应商里程碑。,供应商可在门户更新进度并上传证据。,
FR-TL-008,P0,Tooling生命周期,同步ERPNext采购订单、收货、发票和实际成本到模具开发记录。,成本按模具、供应商和费用类型汇总。,
FR-TL-009,P0,Tooling生命周期,支持模具问题/缺陷、严重度、根因、责任方、措施、目标轮次和验证。,未关闭重大缺陷阻断G5或G6。,
FR-TL-010,P0,Tooling生命周期,支持T0、T1、T2等试模轮次和轮次比较。,每轮关联模具版本、产品版本、参数、样件和缺陷。,
FR-TL-011,P0,Tooling生命周期,支持模具验收清单：技术、质量、周期、备件、文件、保修和费用。,验收批准后触发ERPNext模具资产创建/更新。,
FR-TL-012,P0,Tooling生命周期,Hub中的模具开发记录与ERPNext模具资产保持唯一映射。,一个开发对象只能对应一个正式资产ID，复制模具除外。,
FR-TL-013,P1,Tooling生命周期,显示ERPNext中的当前位置、状态、模次/寿命、维护到期和维修历史。,Hub只读，不允许覆盖ERPNext资产事实。,
FR-TL-014,P1,Tooling生命周期,支持模具移动、借出、返还、封存、报废的项目证据和审批链接。,实际资产移动仍在ERPNext执行。,
FR-TL-015,P1,Tooling生命周期,支持关键备件、易损件、供应商和最低库存建议。,正式备件物料与库存由ERPNext管理。,
FR-TL-016,P1,Tooling生命周期,支持维修授权、报价、责任归属、停机影响和维修验证。,客户来模维修必须保留客户授权证据。,
FR-TL-017,P2,Tooling生命周期,支持IoT/机台模次自动回写和寿命预警。,手工与自动计数有来源标识和校准规则。,
FR-TL-018,P2,Tooling生命周期,支持模具健康评分和预防维护建议。,评分由寿命、缺陷、维修、停机和保养逾期构成。,
FR-DS-001,P0,设计与文档,支持产品图纸、模具图、DFM、规格书、检验标准、工艺文件等文档类型和编号规则。,编号唯一，类型和前缀可配置。,
FR-DS-002,P0,设计与文档,文档状态至少包括草稿、评审中、已批准/已发布、已替代、作废。,已发布文件不可直接覆盖或删除。,
FR-DS-003,P0,设计与文档,支持主版本/次版本、修订原因、生效日期、替代关系和受影响对象。,可以查看版本历史和比较元数据。,
FR-DS-004,P0,设计与文档,文档关联项目、客户、产品/物料、模具、试模、阶段门和变更。,从任何核心对象可反查相关文档。,
FR-DS-005,P0,设计与文档,支持评审、批准、驳回、重提和电子签名/确认记录。,批准时锁定文件哈希和元数据快照。,
FR-DS-006,P0,设计与文档,支持发布包/基线，将一组特定版本的文件作为G2、G5、G6或ECN证据。,基线内容不可被后续文件版本替换。,
FR-DS-007,P1,设计与文档,支持检入/检出或编辑锁，避免多人覆盖。,锁可由管理员回收并保留记录。,
FR-DS-008,P0,设计与文档,支持客户机密级别、项目级权限、下载日志和外部分享有效期。,外部用户只能访问授权项目和版本。,
FR-DS-009,P1,设计与文档,支持常见PDF/图片/Office预览；CAD文件可显示轻量化衍生文件或外部查看器链接。,无法预览时仍可校验哈希和下载权限。,
FR-DS-010,P0,设计与文档,支持文件哈希、大小、格式、上传者、上传时间和病毒扫描状态。,发布前必须通过完整性与安全检查。,
FR-DS-011,P0,设计与文档,支持工程BOM（EBOM）工作版本、父子层级、用量、替代件和有效性。,EBOM可处于草稿/评审/发布状态。,
FR-DS-012,P1,设计与文档,支持EBOM版本差异：新增、删除、数量、替代、属性变更。,变更评审可生成差异清单。,
FR-DS-013,P0,设计与文档,EBOM发布后通过受控接口创建/更新ERPNext Item和MBOM。,每个EBOM节点保存ERPNext Item/BOM映射和结果。,
FR-DS-014,P2,设计与文档,支持CAD/PDM连接器自动提取属性、零件清单或轻量化预览。,连接器失败不影响文档发布基本流程。,
FR-NP-001,P0,NPI与量产就绪,按项目类型、客户和行业配置NPI清单及必交证据。,清单可复用但项目实例独立冻结。,
FR-NP-002,P0,NPI与量产就绪,NPI项包含类别、负责人、截止日、状态、证据、阻断级别和适用阶段门。,P0阻断项未完成时不得通过G6。,
FR-NP-003,P0,NPI与量产就绪,支持材料、色号、添加剂、包装、标签、嵌件、辅机和特殊过程确认。,批准值与ERPNext物料/规格建立映射。,
FR-NP-004,P0,NPI与量产就绪,支持工艺参数表版本：机台、温度、压力、速度、保压、冷却、周期和允许窗口。,参数与模具/产品/材料/试模轮次关联。,
FR-NP-005,P0,NPI与量产就绪,支持样件计划、数量、穴号、材料批次、包装、去向和客户反馈。,样件有唯一批次/标签并可追溯。,
FR-NP-006,P0,NPI与量产就绪,关联首件、尺寸、外观、性能、可靠性等质量结果。,质量结果来自ERPNext或受控报告，失败形成阻断。,
FR-NP-007,P1,NPI与量产就绪,可配置PFMEA、控制计划、MSA、CPK、PPAP等交付物。,非汽车项目可不启用，不硬编码行业流程。,
FR-NP-008,P0,NPI与量产就绪,支持设备与产能确认：机台、穴数、节拍、良率、OEE假设、班次和目标产量。,计算结果与Run-at-rate实绩可对比。,
FR-NP-009,P0,NPI与量产就绪,支持试产/小批量生产记录、投入、产出、报废、停机、节拍和问题。,试产问题进入行动清单并影响就绪度。,
FR-NP-010,P0,NPI与量产就绪,支持作业指导书、检验指导书、包装规范、参数表和维护标准发布检查。,G6检查生产现场所需版本均已发布。,
FR-NP-011,P0,NPI与量产就绪,支持人员培训、资格、班组覆盖和确认记录。,关键岗位未覆盖时形成阻断。,
FR-NP-012,P1,NPI与量产就绪,支持供应商准备度：材料、外协、备件、交期、质量和应急方案。,高风险供应项进入项目风险。,
FR-NP-013,P0,NPI与量产就绪,计算NPI就绪度，并单独显示阻断项，不允许仅靠百分比掩盖重大风险。,看板显示总分、类别分和阻断项数量。,
FR-NP-014,P0,NPI与量产就绪,支持正式量产移交：对象清单、接收部门、遗留问题、责任人和截止日。,移交双方确认后才可关闭G7。,
FR-NP-015,P1,NPI与量产就绪,SOP后设置观察期，跟踪首批良率、投诉、节拍和模具问题。,观察期结束形成稳定性结论和复盘。,
FR-TR-001,P0,试模与质量,创建试模计划：目标、轮次、日期、机台、模具、材料、人员、样件数量和测量计划。,计划可生成任务和预约资源。,
FR-TR-002,P0,试模与质量,试模实际记录机台、材料批次、模具/产品版本、环境和完整参数。,关键字段缺失不能提交试模结论。,
FR-TR-003,P0,试模与质量,上传样件照片、视频、参数曲线、测量报告和客户反馈。,附件与具体轮次和样件批次绑定。,
FR-TR-004,P0,试模与质量,缺陷支持类别、位置/穴号、严重度、图片、根因、责任、措施和验证轮次。,缺陷可按轮次比较并生成Pareto。,
FR-TR-005,P0,试模与质量,支持试模结论：通过、条件通过、需改模、需改图、需调工艺、取消。,结论触发下一步任务和阶段门状态。,
FR-TR-006,P0,试模与质量,可调用/关联ERPNext Quality Inspection、NCR或质量报告。,Hub显示最新状态但不改写正式检验结果。,
FR-TR-007,P0,试模与质量,支持内部样件批准、客户批准、偏差/让步和有效期。,批准证据与产品/模具/文件版本锁定。,
FR-TR-008,P1,试模与质量,支持不同试模轮次的参数、尺寸和缺陷趋势比较。,可导出一页式试模总结。,
FR-TR-009,P1,试模与质量,支持穴号级尺寸和缺陷追溯。,家族模/多穴模可筛选具体穴位。,
FR-TR-010,P2,试模与质量,支持从机台或采集系统自动导入试模参数。,自动值保留来源和时间戳，可人工确认。,
FR-CH-001,P0,变更管理,与ERPNext现有ECR/ECO/ECN建立双向关联和状态同步。,正式变更编号以ERPNext为准。,
FR-CH-002,P0,变更管理,影响评估覆盖产品、图纸、EBOM/MBOM、模具、工艺、质量、库存/WIP、供应商、成本、交期和客户。,每个影响类别有责任人和结论。,
FR-CH-003,P0,变更管理,变更关联受影响对象及旧/新版本。,可生成受影响对象清单并避免遗漏。,
FR-CH-004,P0,变更管理,批准后自动生成设计、改模、采购、试模、质量和切换任务包。,任务完成状态回写变更看板。,
FR-CH-005,P0,变更管理,支持生效方式：日期、订单、批次、库存耗尽、序列/模次或客户批准。,生效规则在ERPNext交易执行前可验证。,
FR-CH-006,P0,变更管理,支持旧库存、在制品、在途、旧标签/文件和客户库存处置。,处置决定有审批和执行证据。,
FR-CH-007,P0,变更管理,需要时触发重新试模、FAI、客户批准和NPI部分复审。,系统按影响自动创建门禁复审。,
FR-CH-008,P0,变更管理,变更关闭前验证新版本已发布、ERP数据已更新、现场旧版已撤回。,关闭检查可追溯。,
FR-CH-009,P1,变更管理,支持变更成本、报废、停机和交期影响汇总。,可按客户/原因/产品分析。,
FR-CH-010,P0,变更管理,保留完整审计链和跨系统ID。,任何状态、批准和版本变化均可追溯。,
FR-CO-001,P0,协同,支持评论、@人员、关注、附件、活动时间线和对象链接。,讨论保留上下文，不依赖外部聊天才能理解决策。,
FR-CO-002,P0,协同,支持问题、行动、风险和决策统一待办中心。,用户可按今日、逾期、项目和优先级查看。,
FR-CO-003,P1,协同,供应商门户支持里程碑更新、文件上传、报价/问题回复和整改证据。,供应商只能看到授权模具/项目。,
FR-CO-004,P1,协同,客户门户支持资料提交、样件/文件审阅、批准/驳回和反馈。,客户批准形成时间戳和版本锁定。,
FR-CO-005,P0,协同,邮件/站内通知支持到期提醒、逾期升级、阶段门、质量失败、变更和接口异常。,用户可配置订阅但不能关闭关键审计通知。,
FR-CO-006,P0,协同,支持英文、简体中文和繁体中文界面、字段标签、通知、邮件和打印模板；英文为源语言，两种中文来自同一Frappe兼容翻译机制。,按用户语言显示完整单语界面；英文、简体中文和繁体中文均无未翻译系统文案。,1-9
FR-CO-007,P2,协同,支持会议纪要模板并从纪要生成行动项和决策。,行动项保留来源会议链接。,
FR-RP-001,P0,查询报表与管理,全局搜索项目、客户、零件、模具、图纸、试模、缺陷、变更和文件。,结果受权限过滤。,
FR-RP-002,P0,查询报表与管理,管理层项目组合看板：阶段、健康度、目标SOP、逾期、成本和风险。,可按客户、负责人、项目类型、工厂和时间筛选。,
FR-RP-003,P0,查询报表与管理,项目经理看板：本周里程碑、逾期交付物、阻断项、决策和接口异常。,支持下钻到对象。,
FR-RP-004,P0,查询报表与管理,模具看板：开发进度、供应商、成本、试模轮次、重大缺陷、验收和维护提醒。,数据分别来自Hub和ERPNext并标明来源。,
FR-RP-005,P0,查询报表与管理,NPI看板：就绪度、阻断项、试产、能力、培训、文件和客户批准。,G6前可导出评审包。,
FR-RP-006,P1,查询报表与管理,KPI趋势：按月/客户/项目类型分析准时率、周期、质量和成本。,支持导出Excel/PDF。,
FR-RP-007,P0,查询报表与管理,管理员可配置项目模板、阶段门、交付物、编号、字段、状态和通知。,配置变更有版本和审计。,
FR-RP-008,P0,查询报表与管理,支持批量导入历史项目、模具映射、文件索引和主数据。,导入前预校验，错误可下载修复。,
FR-RP-009,P0,查询报表与管理,支持API日志、消息队列、失败重试、人工回放和对账报告。,运维人员无需查数据库即可处理常见失败。,
FR-RP-010,P1,查询报表与管理,支持可配置报表和受控数据导出。,敏感字段可脱敏，导出记录可审计。,
INT-001,P0,ERPNext集成,ERPNext → Hub：客户/供应商增量同步；触发方式：创建/修改后Webhook；每日对账。,Hub只读，ERPNext覆盖,7
INT-002,P0,ERPNext集成,ERPNext → Hub：报价/销售订单触发项目；触发方式：单据提交Webhook + 创建命令。,source_doc唯一幂等,7
INT-003,P0,ERPNext集成,ERPNext ↔ Hub：物料/工程编号映射；触发方式：Hub发布请求；ERPNext返回Item Code。,ERPNext为正式编码主系统,7
INT-004,P0,ERPNext集成,Hub → ERPNext：EBOM发布为Item/MBOM；触发方式：阶段门批准后的受控命令。,版本与映射校验，禁止覆盖已提交BOM,7
INT-005,P0,ERPNext集成,Hub ↔ ERPNext：模具开发与模具资产映射；触发方式：验收时创建/更新；状态只读回传。,开发/资产分域,7
INT-006,P0,ERPNext集成,ERPNext → Hub：采购、收货、发票和模具成本；触发方式：单据提交/修改事件 + 定时汇总。,财务实际以ERPNext为准,7
INT-007,P0,ERPNext集成,ERPNext → Hub：Quality Inspection/NCR/CAPA状态；触发方式：提交、失败、关闭事件。,失败可使门禁失效,7
INT-008,P0,ERPNext集成,ERPNext ↔ Hub：ECR/ECO/ECN与实施任务；触发方式：变更状态事件；Hub回传任务/验证摘要。,正式变更以ERPNext编号为准,7
INT-009,P0,ERPNext集成,Hub → ERPNext/DMS：发布文件、参数表、作业文件；触发方式：发布动作 + 哈希/元数据。,发布副本不可覆盖,7
INT-010,P0,ERPNext集成,ERPNext → Hub：项目成本、工时和费用；触发方式：定时或单据事件。,Hub只读展示,7
INT-011,P1,ERPNext集成,Hub → ERPNext：阶段、SOP、移交和项目状态摘要；触发方式：关键状态变化事件。,仅更新指定摘要字段,7
INT-012,P1,ERPNext集成,身份平台 → 两系统：SSO/用户/组织；触发方式：OIDC/LDAP/SCIM（按现状）。,统一人员标识，外部用户隔离,7
INT-013,P1,ERPNext集成,Hub/OpenProject：项目、任务、里程碑和状态；触发方式：API + Webhook。,Hub阶段门为主；任务按映射规则,7
INT-014,P1,ERPNext集成,BI ← ERPNext/Hub：只读分析数据；触发方式：增量ETL/只读API。,禁止BI反向写入,7
NFR-SEC-001,P0,非功能/身份与访问,支持OIDC/LDAP等统一登录；关键角色可启用MFA；会话与密码策略符合公司安全规范。,须提供可重复的测试证据、监控指标或审计记录证明满足要求。,1/8
NFR-SEC-002,P0,非功能/传输与存储,所有网络流量使用TLS；密钥、令牌和敏感字段加密或存入安全密钥库。,须提供可重复的测试证据、监控指标或审计记录证明满足要求。,1/8
NFR-SEC-003,P0,非功能/权限隔离,按角色、项目、客户、供应商和密级控制；导出、下载和分享单独授权。,须提供可重复的测试证据、监控指标或审计记录证明满足要求。,1/8
NFR-AUD-001,P0,非功能/审计不可抵赖,批准、发布、豁免和变更记录包含用户、时间、版本、意见和哈希；普通用户不能清除。,须提供可重复的测试证据、监控指标或审计记录证明满足要求。,1/8
NFR-PER-001,P0,非功能/交互性能,建议基线：常用列表/表单95%请求在3秒内完成；复杂报表异步生成。,须提供可重复的测试证据、监控指标或审计记录证明满足要求。,1/8
NFR-PER-002,P1,非功能/搜索与大文件,全文/元数据搜索5秒内返回；大CAD文件采用分片或对象存储，不阻塞应用线程。,须提供可重复的测试证据、监控指标或审计记录证明满足要求。,1/8
NFR-AVL-001,P0,非功能/可用性,建议生产月可用性目标不低于99.5%，维护窗口除外；具体SLA由IT确认。,须提供可重复的测试证据、监控指标或审计记录证明满足要求。,1/8
NFR-BCP-001,P0,非功能/备份恢复,数据库、文件和配置每日备份并定期演练；建议RPO≤24小时、RTO≤8小时，最终由业务确认。,须提供可重复的测试证据、监控指标或审计记录证明满足要求。,1/8
NFR-INT-001,P0,非功能/集成可靠性,接口幂等、可重试、可回放、可对账；错误有明确责任人和告警。,须提供可重复的测试证据、监控指标或审计记录证明满足要求。,1/8
NFR-SCL-001,P1,非功能/扩展性,支持多工厂、多项目模板、多语言和后续MES/CAD/客户平台接入。,须提供可重复的测试证据、监控指标或审计记录证明满足要求。,1/8
NFR-MNT-001,P0,非功能/可维护性,自研代码独立App管理，使用版本控制、自动测试、升级回归和开发/测试/生产环境。,须提供可重复的测试证据、监控指标或审计记录证明满足要求。,1/8
NFR-DAT-001,P0,非功能/数据质量,必填、唯一、枚举、引用和版本校验；批量导入提供预校验和差异报告。,须提供可重复的测试证据、监控指标或审计记录证明满足要求。,1/8
NFR-UX-001,P0,非功能/易用性,按角色提供工作台；移动端至少支持查看、审批、拍照上传和行动项更新。,须提供可重复的测试证据、监控指标或审计记录证明满足要求。,1/8
NFR-LOC-001,P0,非功能/本地化,英文为唯一源语言；支持Frappe兼容的简体中文与繁体中文翻译、时区、日期、数字、单位、邮件和打印模板；禁止未批准的界面语言混用。,P0页面英文、简体中文和繁体中文翻译完整率分别为100%，语言纯度扫描和三语言E2E通过。,1-9
NFR-COM-001,P1,非功能/合规留存,按客户/法规配置项目、质量、变更和文件的保留年限及只读归档。,须提供可重复的测试证据、监控指标或审计记录证明满足要求。,1/8
UX-001,P0,统一体验,普通用户必须使用独立 Web App，不以 Frappe Desk 作为日常工作入口。,角色用户登录后直接进入“我的工作/项目组合”，完成核心任务无需打开 Desk。,1
UX-002,P0,统一体验,采用全局 Shell Bar、左侧导航、全局搜索、通知、帮助与用户菜单。,所有一级页面共享同一导航和身份上下文；键盘可访问。,1
UX-003,P0,项目工作区,以 Project Workspace 为主交互容器，统一呈现阶段门、计划、零件、Tooling、设计、试模、质量、NPI和活动。,用户在同一项目上下文内完成至少80%的开发工作。,2/3
UX-004,P0,Tooling工作区,提供 Tooling Workspace，聚合设计、制造、套数、穴位、试模、问题、产能和ERP执行状态。,打开任一Tooling即可看到当前状态、下一行动、关键版本和上下游关系。,2/4
UX-005,P0,阶段门,项目页顶部持续显示G0-G7阶段带、当前阶段、阻断项和下一次评审。,任何项目页面均可在一屏内识别当前阶段与是否可通过。,2/3
UX-006,P0,对象页,对象采用动态页头：编码/名称、状态、关键属性、负责人、主要动作、来源和同步状态。,用户不进入编辑表单即可判断对象身份、状态与下一步。,2
UX-007,P0,统一列表,提供高密度可编辑表格，支持列选择、固定列、分组、筛选、排序、批量操作、保存视图和导出。,Tooling List至少支持10种常用视图并可恢复个人视图。,2/4
UX-008,P0,上下文交互,列表选择行后在右侧上下文面板查看详情、活动、问题和快捷操作，避免频繁跳页。,查看和更新常见字段不丢失列表筛选与滚动位置。,2
UX-009,P0,协同,评论、@提及、行动、风险、决策和附件必须附着于项目或业务对象并进入活动流。,从通知进入时直接定位到对应对象与上下文。,3
UX-010,P0,我的工作,统一“My Work”聚合本人待办、待审、逾期、被提及、接口异常和最近项目。,用户可在一个页面清理当天工作。,3
UX-011,P0,快速创建,提供项目上下文内的快捷创建菜单，仅显示当前阶段/权限适用动作。,用户不能从错误上下文创建无关联单据。,2
UX-012,P0,表单体验,长表单按业务步骤或对象分区，不照搬DocType字段顺序；支持草稿、自动保存、明确保存状态。,网络中断或离开页面时不静默丢失已输入内容。,2
UX-013,P0,错误预防,高风险动作显示影响预览、前置校验、二次确认和可理解的错误修复建议。,阶段门、发布ERP、作废版本、批量更新均有影响预览。,2/6
UX-014,P0,删除策略,业务数据默认软删除/作废，不提供无审计的物理删除。,被引用对象不能删除；管理员修复操作有原因和审计。,1
UX-015,P0,并发控制,编辑时检测版本冲突并提示差异，不允许后保存静默覆盖。,两人并发修改同一对象时至少一方获得冲突处理界面。,2
UX-016,P0,状态反馈,所有异步操作显示进行中、成功、失败、重试和关联日志；禁止“点了没反应”。,ERP发布和批量导入可查看实时进度与逐项结果。,2/7
UX-017,P0,空态与引导,每个主要页面定义加载、空数据、无权限、错误、离线和部分成功状态。,组件测试覆盖上述状态。,1/2
UX-018,P1,命令与搜索,支持命令面板/快捷键，快速跳转项目、零件、模具、试模和常用动作。,高级用户可不离开键盘完成搜索与导航。,3
UX-019,P0,可追溯,任何显示的ERP数据必须标明来源、ERP编号、同步状态和最后更新时间。,不允许用户把镜像状态误认为NPI可编辑字段。,2/7
UX-020,P1,移动端,移动端优先支持审批、状态更新、拍照上传、问题记录和扫码；复杂表格在桌面完成。,手机端可完成现场试模问题采集与Gate审批。,5/8
UX-021,P0,无障碍,主要交互满足键盘操作、焦点可见、标签可读和合理对比度。,自动化无障碍检查无严重问题。,1/8
UX-022,P0,国际化,英文是唯一UI源语言；简体中文和繁体中文通过同一Frappe兼容翻译事实源生成，日期、数字、单位、枚举和消息均本地化。,代码与元数据无硬编码中文UI文案；三种语言切换不改变数据值或业务逻辑；不依赖简繁自动转换作为正式翻译。,1/8
UX-023,P0,设计系统,所有业务页使用内部npi-ui组件封装，不直接散落Siemens iX或其他第三方组件调用。,升级iX、替换主题或处理组件默认文案时不需逐页改写；所有第三方文案经过本地化适配。,1
UX-024,P0,视觉风格,以Siemens Industrial Experience（iX）Classic Light和经典西门子工程软件工作台为唯一视觉与布局基线；使用自有品牌，不复制Siemens商标、字体或受限资产。,页面通过Siemens工业工作台视觉评审；任何其他设计系统或消费级卡片化均不得成为并列目标。,1
UX-025,P0,避免DocType碎片,不得以“每个DocType一个独立列表+表单”作为产品信息架构；DocType是后端持久化实现，不等于用户导航。,导航、工作区和任务流以用户目标组织。,1/2
UX-026,P0,可逆操作,低风险误操作提供撤销；不可撤销动作必须明确说明后果与恢复路径。,批量状态变更可在限定时间撤销或通过审计恢复。,2/8
UX-027,P1,个人化,支持个人收藏、最近访问、保存筛选、默认项目和列布局。,个人设置不影响团队共享视图。,3
UX-028,P0,团队视图,共享视图由管理员或项目负责人发布，需命名、说明、版本和权限。,共享视图修改有审计且可回退。,3
UX-029,P0,性能感知,首屏优先展示关键摘要，次要标签延迟加载；大表采用服务端分页/虚拟化。,典型项目数据量下交互响应达到NFR指标。,1/8
UX-030,P0,原型验收,每个新模块先交付可点击原型或Storybook状态，再进入业务实现。,产品负责人批准原型和交互状态后才开发完整后端。,1-9
ARCH-001,P0,架构,NPI Hub与主ERPNext为两个独立Site/数据库；可以共享基础设施但不得共享业务表。,独立备份、独立迁移、独立发布；停用NPI不影响ERP交易。,1
ARCH-002,P0,架构,后端基于Frappe Framework独立App，普通用户前端采用React+TypeScript独立Web App。,后端可无Desk完成所有用户功能；Desk只用于配置/管理员修复。,1
ARCH-003,P0,架构,前端优先验证Siemens iX React/Web Components和图标，并通过内部npi-ui封装；复杂表格可采用经批准的开源组件。,依赖和许可证经批准；业务页面不直接耦合第三方组件；可统一替换主题。,1
ARCH-004,P0,API,业务写操作通过版本化领域服务API和显式状态转换，不直接依赖通用DocType CRUD。,openapi.yaml覆盖公开接口，错误码稳定且有契约测试。,1/2
ARCH-005,P0,集成,浏览器不得持有ERPNext API密钥；ERP集成仅由服务端集成账户执行。,安全扫描和配置审计无前端密钥泄露。,1/7
ARCH-006,P0,集成,集成采用Outbox/Inbox、幂等键、重试、死信、对账和人工补偿。,重复消息不重复建单；可复现并修复失败消息。,7
ARCH-007,P0,文件,文件必须具备版本、校验和、权限、发布状态和不可变发布副本。,Gate快照始终打开当时批准的文件版本。,1/6
ARCH-008,P0,状态机,核心对象采用显式状态机；状态转换校验权限、前置条件、理由和审计。,禁止通过直接字段写入绕过流程。,1/2
ARCH-009,P0,可观测性,统一记录请求ID、用户、对象、集成消息、错误、性能和审计事件。,从界面错误可定位到后端日志和接口消息。,1/8
ARCH-010,P0,扩展,客户/工厂差异优先通过模板、字典、规则和扩展字段实现，不复制整套模块。,新增客户模板无需fork主流程。,3/8
ARCH-011,P0,数据主责,每个共享字段必须定义主系统、可编辑方、同步方向、冲突规则和生效时点。,Ownership Matrix缺失时不得开发双向同步。,0/7
ARCH-012,P0,版本策略,数据库迁移、API、文档和前端发布版本必须可追踪并支持回滚。,每次发布具有迁移清单、备份点和回滚演练记录。,1-9
FR-TX-001,P0,Tooling数据模型,区分Part、Tooling Requirement、Tooling Master、Tooling Revision、Tooling Set/Copy和Trial。,客户表导入后每个概念落在正确对象，不以单行替代全部对象。,4
FR-TX-002,P0,Tooling数据模型,一个Tooling Master可适用于多个项目、机型、产品和零件；适用关系有生效版本。,共用模不重复创建主模具，项目仅建立适用/使用关系。,4
FR-TX-003,P0,Tooling数据模型,复制模/新增套数必须创建独立Tooling Set，记录序列号、来源Revision、供应商、状态、位置和资产映射。,复制数量与实际物理套数可逐套追踪。,4
FR-TX-004,P0,Tooling数据模型,支持家族模/多穴模的穴位到零件映射、穴位状态、封穴和穴位试验结果。,缺陷和产能可以追溯到具体穴号。,4/5
FR-TX-005,P0,Tooling数据模型,支持双色、双射、包胶/Overmold的工序链、母件/包胶件关系、机台类型和组合试模。,UI MASK与OVERMOLD类关系不依赖空模具号或备注表达。,4/5
FR-TX-006,P0,Tooling数据模型,支持镶件/Insert/换镶件方案，记录适用机型、版本、换型时间和验证状态。,CFP150CO等换镶件要求可结构化查询。,4
FR-TX-007,P0,外部标识,零件和Tooling支持一对多外部标识：客户、SN、KW、TH、供应商等，并保留来源与有效期。,同一单元格多个编号可拆分导入且不丢失原始值。,4
FR-TX-008,P0,材料工艺,材料、牌号、商标、色母、颜色、FDA/合规和二次工艺拆为受控规格并与Part Revision关联。,材料/颜色变更可触发影响评估。,4/6
