"NPI ERP Authorization Delivery","NPI ERP 授权投递"
"NPI Physical Set Serial","NPI 实体套件序列号"
"NPI Tooling Requirement Kind","NPI 模具需求类型"
"NPI Source Tooling Revision","NPI 来源模具修订版"
"NPI Acceptance Evidence Reference","NPI 验收证据引用"
"new_tool","新模具"
"customer_owned_intake","客户所有模具接收"
"copy_or_additional_set","复制或新增套件"
"modification","修改"
"repair","维修"
"capacity_need","产能需求"
"NPI ERP Project Delivery","NPI ERP 项目投递"
"NPI ERP Project Mapping","NPI ERP 项目映射"
"Source Project","来源项目"
"Target Project Global ID","目标项目全局 ID"
"Receipt ID","回执 ID"
"Delivery Event","投递事件"
"Mapped At","映射时间"
"Accepted At","接受时间"
"Response Disposition","响应处置"
"accepted","已接受"
"succeeded","已成功"
"ERPNext Project integration records can only be changed by the controlled sender.","ERPNext 项目集成记录只能由受控发送器更改。"
"ERPNext Project integration history cannot be deleted.","不能删除 ERPNext 项目集成历史。"
"Project delivery event fields are immutable.","项目投递事件字段不可变。"
"A terminal Project delivery cannot be changed.","终态项目投递不可更改。"
"Source Project is required.","来源项目为必填项。"
"Project delivery state is invalid.","项目投递状态无效。"
"Project delivery event binding is invalid.","项目投递事件绑定无效。"
"Accepted Project delivery is incomplete.","已接受的项目投递不完整。"
"Completed Project delivery is incomplete.","已完成的项目投递不完整。"
"A Project identity mapping is immutable.","项目标识映射不可变。"
"Project mapping is incomplete.","项目映射不完整。"
"Project sender is disabled.","项目发送器已停用。"
"Only a permanently failed Project delivery can be retried.","只能重试永久失败的项目投递。"
"{field} is invalid.","{field} 无效。"
"NPI ERP Trial Summary","NPI ERP 试模摘要"
"NPI ERP Trial Summary Fact","NPI ERP 试模摘要事实"
"NPI ERP Trial Summary Integration Service","NPI ERP 试模摘要集成服务"
"NPI ERP Trial Summary Viewer","NPI ERP 试模摘要查看者"
"Delivery Request Global ID","投递请求全局标识符"
"Trial Summary Revision Global ID","试模摘要修订全局标识符"
"Trial Summary Global ID","试模摘要全局标识符"
"Trial Plan Global ID","试模计划全局标识符"
"Trial Round Global ID","试模轮次全局标识符"
"Trial Summary Version","试模摘要版本"
"Predecessor Trial Summary Revision Global ID","前序试模摘要修订全局标识符"
"Trial Summary Projection Purpose","试模摘要投影用途"
"Formal MP Acceptance","正式量产验收"
"Trial Conclusion State","试模结论状态"
"Trial Conclusion Code","试模结论代码"
"Source Manifest Hash","来源清单哈希"
"Presentation Projection Hash","呈现投影哈希"
"Redaction Manifest Hash","脱敏清单哈希"
"Trial Summary Presentation Projection","试模摘要呈现投影"
"Trial Summary Redaction Manifest","试模摘要脱敏清单"
"Trial Summary Fact Count","试模摘要事实数量"
"Source Actor User ID","来源操作用户 ID"
"Source Created At","来源创建时间"
"Integration Service User","集成服务用户"
"Received At","接收时间"
"Trial Summary Fact Global ID","试模摘要事实全局标识符"
"Trial Summary Fact Group","试模摘要事实组"
"Trial Summary Fact Type","试模摘要事实类型"
"Trial Summary Fact Key","试模摘要事实键"
"Trial Summary Fact Value State","试模摘要事实值状态"
"Trial Summary Fact Value","试模摘要事实值"
"Trial Summary Fact JSON Value","试模摘要事实 JSON 值"
"Unit","单位"
"Trial Summary Fact Source References","试模摘要事实来源引用"
"Trial Summary Fact Source References Hash","试模摘要事实来源引用哈希"
"ERPNext Trial Summary facts are immutable.","ERPNext 试模摘要事实不可变。"
"ERPNext Trial Summary projection history cannot be deleted.","不能删除 ERPNext 试模摘要投影历史。"
"ERPNext Trial Summary projection records can only be changed by the controlled operation.","ERPNext 试模摘要投影记录只能由受控操作更改。"
"ERPNext Trial Summary projections are immutable.","ERPNext 试模摘要投影不可变。"
"Global ID is invalid.","全局标识符无效。"
"Integration Trial Summary reconciliation contract is invalid.","集成试模摘要对账合同无效。"
"Integration Trial Summary request contract is invalid.","集成试模摘要请求合同无效。"
"The Trial Summary fact parent is invalid.","试模摘要事实的父记录无效。"
"The Trial Summary predecessor is invalid.","试模摘要前序修订无效。"
"The Trial Summary projection purpose is invalid.","试模摘要投影用途无效。"
"The query page is invalid.","查询分页无效。"
"Trial Conclusion State is invalid.","试模结论状态无效。"
"Trial Summary Fact Count is invalid.","试模摘要事实数量无效。"
"Trial Summary Fact Value State is invalid.","试模摘要事实值状态无效。"
"Trial Summary Version is invalid.","试模摘要版本无效。"
"Trial Summary facts exceed the safe bound.","试模摘要事实超过安全上限。"
"actual_parameter","实际参数"
"approved","已批准"
"blocker","阻断项"
"cancelled","已取消"
"cavity_result","型腔结果"
"closed","已关闭"
"comparison","对比"
"conditional_pass","有条件通过"
"controlled_reference","受控引用"
"defect_verification","缺陷验证"
"design_change","设计变更"
"failed","失败"
"informational","信息"
"input_change","输入变更"
"material_change","材料变更"
"measured","已测量"
"not_measured","未测量"
"open","未关闭"
"other","其他"
"pass","通过"
"process_tuning","工艺调试"
"rejected","已拒绝"
"sample","样件"
"satisfied","已满足"
"tooling_action","模具措施"
"tooling_change","模具变更"
"tooling_defect","模具缺陷"
"trial_action","试模措施"
"trial_defect","试模缺陷"
"unavailable","不可用"
"The stored Trial Summary fact is invalid.","存储的试模总结事实无效。"
"The stored Trial Summary fact source references are invalid.","存储的试模总结事实来源引用无效。"
"The stored Trial Summary presentation projection is invalid.","存储的试模总结呈现投影无效。"
"The stored Trial Summary redaction manifest is invalid.","存储的试模总结脱敏清单无效。"
"NPI ERP Master Data Delivery","NPI 企业资源计划主数据投递"
"Master Catalog Type","主数据目录类型"
"Master Data Record Count","主数据记录数量"
"Target Master Snapshot ID","目标主数据快照标识符"
"Response Payload Hash","响应载荷哈希"
"customer","客户"
"supplier","供应商"
"item_group","物料组"
"item","物料"
"ERPNext master data deliveries can only be changed by the controlled integration service.","ERPNext 主数据投递只能由受控集成服务更改。"
"ERPNext master data delivery history cannot be deleted.","不能删除 ERPNext 主数据投递历史。"
"Master data sender is disabled.","主数据发送器已停用。"
"Only a permanently failed master data delivery can be retried.","只能重试永久失败的主数据投递。"
"Master data delivery source fields are immutable.","主数据投递的来源字段不可变。"
"A completed master data delivery cannot be changed.","已完成的主数据投递不能更改。"
"A failed master data delivery transition is invalid.","失败主数据投递的状态转换无效。"
"Master catalog type is invalid.","主数据目录类型无效。"
"Master data record count is invalid.","主数据记录数量无效。"
"Master data delivery state is invalid.","主数据投递状态无效。"
"Master data delivery event binding is invalid.","主数据投递事件绑定无效。"
"Completed master data delivery is incomplete.","已完成的主数据投递信息不完整。"
